request,account,dvr,start_time,end_time,source,received,uploaded,timestamp,is_retry,videos_details
001000007462323203720240918140920000,3-170,0000074623232037,"2024-09-18 14:08","2024-09-18 14:08",Vehicle,2,2,"2024-09-18 14:11:44",0,2
001000007461321598520240918140007000,3-170,0000074613215985,"2024-09-18 13:59","2024-09-18 13:59",Vehicle,2,2,"2024-09-18 14:01:42",0,2
001000007462326306020240918055807000,3-250,0000074623263060,"2024-09-18 05:41","2024-09-18 05:41",Vehicle,26,26,"2024-09-18 06:03:29",0,26
001000007462326306020240918054523000,3-250,0000074623263060,"2024-09-18 05:28","2024-09-18 05:28",Vehicle,25,25,"2024-09-18 05:50:46",0,25
001000007462319106220240918042032000,3-250,0000074623191062,"2024-09-18 03:30","2024-09-18 03:30",Vehicle,25,25,"2024-09-18 04:26:26",0,25
001000007462319106220240918030950000,3-250,0000074623191062,"2024-09-18 02:18","2024-09-18 02:18",Vehicle,25,25,"2024-09-18 03:14:50",0,25
001000007462305101720240918013735000,3-242,0000074623051017,"2024-09-18 01:36","2024-09-18 01:36",Vehicle,1,1,"2024-09-18 01:39:24",0,1
001000007462319106220240918011142000,3-250,0000074623191062,"1971-01-01 00:00","1971-01-01 00:00",Vehicle,24,17,"2024-09-18 01:17:27",0,24
001000007462305101720240918002800000,3-242,0000074623051017,"2024-09-18 00:26","2024-09-18 00:26",Vehicle,2,2,"2024-09-18 00:30:28",0,2
001000007462319314320240917230304000,3-309,0000074623193143,"2024-09-17 22:34","2024-09-17 22:34",Vehicle,25,25,"2024-09-17 23:08:33",0,25
001000007462319315020240917222333000,3-309,0000074623193150,"2024-09-17 21:53","2024-09-17 21:53",Vehicle,24,24,"2024-09-17 22:29:13",0,24
001000007462213205320240917214801000,3-155,0000074622132053,"2024-09-17 21:46","2024-09-17 21:46",Vehicle,2,2,"2024-09-17 21:58:07",0,2
002000007462217202220240917194325627,3-170,0000074622172022,"2024-08-22 12:33","2024-08-22 12:36",API,3,3,"2024-09-17 19:43:35",0,3
001000007462319209220240917185319000,3-253,0000074623192092,"2024-09-17 18:36","2024-09-17 18:36",Vehicle,25,24,"2024-09-17 18:58:21",0,25
001000007462319209220240917183459000,3-253,0000074623192092,"1971-01-01 00:47","1971-01-01 00:47",Vehicle,25,18,"2024-09-17 18:55:08",0,25
001000007462319210920240917174457000,3-250,0000074623192109,"2024-09-15 02:40","2024-09-15 02:40",Vehicle,25,8,"2024-09-17 17:50:39",0,25
001000007462312101120240917164110000,3-170,0000074623121011,"2024-09-17 16:39","2024-09-17 16:39",Vehicle,2,2,"2024-09-17 16:48:40",0,2
002000007462305412220240917163806097,3-242,0000074623054122,"2024-09-13 20:46","2024-09-13 20:49",API,3,3,"2024-09-17 16:38:18",0,3
001000007462317104520240917152952000,3-303,0000074623171045,"2024-09-17 15:09","2024-09-17 15:09",Vehicle,27,27,"2024-09-17 15:56:50",0,27
001000007462318302620240917135028000,3-250,0000074623183026,"2024-09-14 18:01","2024-09-14 18:01",Vehicle,24,24,"2024-09-17 13:56:27",0,24
001000007462323200120240917104423000,3-170,0000074623232001,"2024-09-17 10:43","2024-09-17 10:43",Vehicle,2,2,"2024-09-17 10:46:22",0,2
001000007462323200120240917104115000,3-170,0000074623232001,"2024-09-17 10:40","2024-09-17 10:40",Vehicle,2,2,"2024-09-17 10:42:58",0,2
001000007462312310720240916223014000,3-170,0000074623123107,"2024-09-16 22:29","2024-09-16 22:29",Vehicle,2,2,"2024-09-16 22:33:11",0,2
001000007461339647620240916212658000,3-170,0000074613396476,"2024-09-16 21:26","2024-09-16 21:26",Vehicle,2,2,"2024-09-16 21:28:18",0,2
002000007462217202220240916205520626,3-170,0000074622172022,"2024-08-22 12:35","2024-08-22 12:45",API,9,9,"2024-09-16 20:55:37",0,9
001000007462316331020240916195712000,3-253,0000074623163310,"1971-01-01 00:21","1971-01-01 00:21",Vehicle,25,9,"2024-09-16 20:02:54",0,25
002000007462316331020240916200031607,3-253,0000074623163310,"2024-09-16 19:59","2024-09-16 20:00",API,1,1,"2024-09-16 20:00:35",0,1
002000007462316331020240916195746303,3-253,0000074623163310,"2024-09-16 19:56","2024-09-16 19:57",API,1,1,"2024-09-16 19:57:52",0,1
